"","AveExpr","Coef.NTvBT","Coef.nTvBT","t.NTvBT","t.nTvBT","P.value.NTvBT","P.value.nTvBT","F","F.p.value","Results.NTvBT","Results.nTvBT"
"BCOADC-E2",8.14033088270056,-3.8727476515375,-2.8485010014164,-4.04560585035044,-2.88189798203085,0.00061588079421769,0.00912198686062858,8.7943050371709,0.00177297632128076,-1,-1
"CENP-A",7.25590479337059,-3.40934569264172,-3.71978784279581,-3.8294730552843,-3.97908203717494,0.0010241504591345,0.000720320186086497,10.3703361183015,0.000787613749662135,-1,-1
"CENP-B",7.06312151771023,-3.61841466297176,-0.398471203936834,-3.54122351251226,-0.386573791762496,0.00201181863959814,0.703091155245453,7.32796090212615,0.00401740753803974,-1,0
"COL3  ",6.58660143492462,-8.48251061092188,-9.58488365624678,-6.2213249970794,-6.52973363290881,4.16699756995597e-06,2.13365057185862e-06,27.6698656915992,1.5844449444011e-06,-1,-1
"COL5",9.84086096537122,-4.68496547727885,-5.22238898852322,-5.09261081222416,-5.27820116794268,5.30795859058281e-05,3.46170830215076e-05,18.2902828069487,2.86380819119231e-05,-1,-1
"CytC",3.69585245024606,-4.70646423082899,-4.85384748076905,-3.85227151790531,-3.74730592305757,0.000970716685481405,0.00124210240842022,9.81787225646218,0.00103911155524117,-1,-1
"DFS70",6.07554718501983,-7.15254261555795,-5.84342956527551,-7.23297264440352,-5.71823736834754,4.85810752721342e-07,1.27329749253785e-05,29.5840845852141,9.59643702967272e-07,-1,-1
"dsDNA",12.051682205639,2.46724158415947,2.65945404126449,2.20527404777921,2.34224913734615,0.0391126458406774,0.0294548489219066,3.52251767532219,0.0486001233409323,1,1
"GAD65",12.3500209997136,3.6038818189651,3.15587175753691,3.00008618686301,2.54030601024834,0.00699134032520072,0.0193352950330177,5.3153967279907,0.0139111856337292,1,1
"GBM",7.93789190406402,-6.50394843328062,-7.743100543379,-5.9305035534532,-6.58297825330365,7.91885162752029e-06,1.90314969633121e-06,26.806407218698,2.00326641075771e-06,-1,-1
"gDNA",14.0234763792278,2.49988352629994,2.81479548537083,2.57257097190256,2.86706373011129,0.0180338737261987,0.00942983575853245,5.06846294286442,0.0163807246640856,1,1
"Gliadin",9.23633675055098,3.89010726327409,3.95136227161082,2.65997179961879,2.58704443754222,0.0149105667062629,0.0174772536627681,4.68021936936085,0.0212949176069821,1,1
"GP2",14.2273819941289,3.26869984278631,4.41450403607293,3.81827822499375,5.18762297143071,0.00105144755330375,4.26311236700435e-05,14.6672480803477,0.000114260771664044,1,1
"GP210",8.70045563915145,1.59033132227696,5.11047843828937,1.09965595445017,3.49587256752913,0.284343160455668,0.00223611492614799,6.30383649992188,0.00741641413492046,0,1
"IA-2",10.5866016898783,5.02747607419314,4.90677652841558,4.09913886970146,3.84612272753788,0.000542922094339475,0.000984848933600244,10.7559443864074,0.000651953258365034,1,1
"IF",8.11367089815598,1.87882623449713,4.65878199118247,1.86305268122947,4.50184217720727,0.0769783872816488,0.00021046769084837,10.1764603184511,0.000867309965291522,0,1
"Jo-1",11.0891231471677,5.47395166237492,5.56474807148441,4.28897229035405,4.32796668612748,0.00034719401279187,0.000316746400913446,12.6164948067877,0.000274315731097618,1,1
"KS",7.78644377969959,4.22501985709266,4.84031638026381,3.16568330207553,3.45301555880549,0.0047957634420867,0.00247059416446208,7.48213500765937,0.00367468698951753,1,1
"KU P70P80",8.24528971895218,2.29819896491235,2.47504447412056,2.06463941586431,2.10268553234019,0.0519587030934429,0.0481524380325492,2.95136828039694,0.0749495440923043,0,1
"La SSB",9.35335205229611,1.8112988412718,4.6508839889128,1.92158112790951,4.90524163419449,0.0687996549569083,8.19592935718875e-05,12.1288637792356,0.000341767786425013,0,1
"Laminin",5.48231677410333,-3.40787247577279,-3.11630144156639,-2.49908792119863,-2.18656815276616,0.0211262250598651,0.040635994928695,3.77653527556766,0.0403159112685182,-1,-1
"LC1",8.34631006047984,1.79519297128338,2.32127109435922,1.86900749243121,2.29286888558377,0.0761089741163054,0.0326500356971506,3.02794271887606,0.0706440259150285,0,1
"LKM 1",8.16481271544703,4.93126354477533,3.3425253706421,4.57528183983117,2.91780609921159,0.000177151151851367,0.00841618742761009,10.838891637119,0.000626260081265073,1,1
"M2",8.98482778474469,-3.24988680351874,-2.14870504980482,-3.33410729331722,-2.122581783733,0.00325488380408424,0.0462638194003255,5.75321466913747,0.0104779189764293,-1,-1
"MBP",11.8620436769835,-4.00711137603088,-3.10603567550209,-4.77953886985545,-3.54865924211995,0.000109847725990837,0.00197722010622476,12.5010210222738,0.000288851732726824,-1,-1
"MDA5",6.52945901452551,-2.7775145461767,-1.29237080673824,-2.92546578400056,-1.32871493632579,0.00827256776283416,0.198674917703951,4.28080558087247,0.0280964625559712,-1,0
"Mi-2",6.82956208621051,7.94450587624466,7.62104339746391,5.74396608579267,5.21051387830802,1.20173701963318e-05,4.04428136194449e-05,20.5233784180413,1.32917349093455e-05,1,1
"NCL",13.2996609960916,-4.25246214234385,-4.15328011048513,-4.64035119376333,-4.32728254892616,0.000152097036154594,0.000317256775471367,13.7099079620324,0.000170365994695375,-1,-1
"NXP2",9.47806352524741,1.18747253948486,5.1077512356533,0.765549426174254,3.40113099595747,0.452747694456478,0.00278693606650331,6.23502908323302,0.00773876699057882,0,1
"OGDC-E2",6.82101375118235,-2.71070228646855,-1.82501181040348,-2.68228622504425,-1.75079169812477,0.0141993145663883,0.0950694516969829,3.74938866443757,0.0411224655690441,-1,0
"PL-7",10.8543253790776,2.6593464779371,3.19331125120297,3.14450838263489,3.68206291567403,0.00503382135123787,0.00144739940353796,8.05462417184278,0.00265659722333645,1,1
"PM Scl75",8.00532009918331,3.31724110605787,1.14684600675448,2.60521824171995,0.836346629837717,0.0168012274046943,0.412689931713196,3.49224665257483,0.0497060863787083,1,0
"PM Scl100",10.1050190038987,-2.31312719558577,-1.41106007921015,-2.68592650351102,-1.55269236817423,0.014086377998568,0.135937274186828,3.65988045058272,0.0439099984708773,-1,0
"SAE1 SAE2 ",7.97189863225986,7.67532564551144,4.95662556808363,5.56604804513657,3.34529869141269,1.79542682493621e-05,0.0031717226254582,15.8250355149387,7.19138650987533e-05,1,1
