"","AveExpr","Coef.NTvBT","Coef.nTvBT","t.NTvBT","t.nTvBT","P.value.NTvBT","P.value.nTvBT","F","F.p.value","Results.NTvBT","Results.nTvBT"
"BCOADC-E2",9.34734912497383,-4.65439939452386,-3.26960895750049,-4.02217704152975,-2.9524422638507,0.000667820767104554,0.00787303322883354,8.8063294215251,0.00180660814928072,-1,-1
"Cardiolipin",9.27124936593693,3.60843111213858,5.55676867151446,2.14817336677414,3.27994819921292,0.0441302365567452,0.00374423324598477,5.61199709607609,0.0116242524640301,1,1
"CENP-B",7.8371315425599,-3.88190892552512,-0.384459390981565,-3.35508050809834,-0.349651514201837,0.00315069696004322,0.730254660997316,6.60394519982358,0.00627802550196245,-1,0
"COL3  ",8.66573373300243,-8.10690296687108,-9.552086155629,-5.25939631087861,-5.71759628092692,3.79548788222277e-05,1.35200508113378e-05,20.571973266219,1.40121558048612e-05,-1,-1
"COL5",11.9595054688101,-3.92324339203578,-4.61984363894521,-4.48522083092641,-4.75327288326406,0.000226369107585677,0.000121417130497373,14.535393341891,0.000126441925270082,-1,-1
"C1q",10.5090157340015,-3.45591687540312,-3.3959583967864,-2.97684791548734,-2.81379381000799,0.00745332903605487,0.0107237478473604,5.70977219419047,0.0109206743384593,-1,-1
"CytC",4.90692116974386,-7.32164822154246,-7.9860566379504,-6.05906797435022,-6.17333909895006,6.36063091549602e-06,4.95765072181175e-06,25.4294670137066,3.20651585649406e-06,-1,-1
"DFS70",7.94697567831487,-6.40165440470888,-4.7011685403349,-4.81589263769474,-3.41198408046953,0.00010503622287435,0.00276348648000497,12.4344358229926,0.000309527964812553,-1,-1
"GAD65",11.5493129920019,3.77268878112112,2.61940780062001,3.17985541987849,2.0627235487044,0.00470705935521509,0.0523650698020974,5.2600314036669,0.0146015876470963,1,0
"gDNA",14.2173283363414,2.6029702480321,3.03543114731336,2.78574381716487,3.19801075134377,0.0114100028197478,0.00451612064285893,6.16391210903988,0.00821253649991335,1,1
"Gliadin",11.5935277457724,3.54701929172623,3.50895471714371,2.2826246569236,2.20179419673088,0.0335302993130184,0.0395819182259385,3.41989559521854,0.05278197163346,1,1
"GP2",13.7733666164224,1.90283631285682,3.98440187407687,1.79708761637377,3.91156858581275,0.0874381357088303,0.00086488727000846,7.65159503076211,0.0034047210921813,0,1
"GP210",7.50621967660378,4.6455353863246,7.72895473833945,2.28440169029671,3.74065224329891,0.0334073573885421,0.00128891049912976,7.1707650626643,0.00448777954003981,1,1
"IA-2",11.2462394589275,6.15748178188469,5.47919633723498,4.61982991316918,3.93514433432235,0.000165483774318395,0.000818522875924492,12.6567039693031,0.000280466440055411,1,1
"IF",9.71855979299805,1.6006880378343,4.45334718637906,1.3381343597857,3.70900860870403,0.195866824839568,0.00138753998955996,6.98659969878115,0.00499880352533524,0,1
"Jo-1",13.132543225906,5.51276373907259,4.76759908205845,4.24280937336755,3.60579981731794,0.000398645262715257,0.00176411020866283,10.6582184804089,0.000706233983397557,1,1
"KS",8.64202476923075,2.57809671197782,4.23366156562043,1.80321908261924,2.85774164044812,0.0864397342829182,0.00972727417523161,4.21705592444864,0.0296395045202257,0,1
"La SSB",10.3407393736877,-0.255010533847527,2.25314139420948,-0.23492812508203,2.08893044899591,0.816652752996789,0.0497030735779851,3.13810957328094,0.0652606284117792,0,1
"Laminin",5.05630676690329,-4.81827653230579,-4.13679640800304,-2.82676725607423,-2.26505322165528,0.0104198570532895,0.0347685528503516,4.55430983341391,0.0234448421472639,-1,-1
"LKM 1",8.62831541972038,2.41432191315655,1.89862439754265,2.19976394180096,1.67719596675946,0.0397460346059104,0.109062918097751,2.68297382268583,0.0928482531389255,1,0
"M2",8.7653512948992,-4.04637704258796,-3.23219492652845,-3.24633681495702,-2.66333042661946,0.00404390108097863,0.014925606513666,6.09456918637426,0.00857332941540716,-1,-1
